Feature,Importance
cost_efficiency,0.9931786135027196
Maintenance Downtime (Hours),0.0006559978707559538
Ancillary Revenue (USD),0.0006398880498753576
Fleet Availability (%),0.0005932181047972701
Fuel Efficiency (ASK),0.0005612188056609405
Debt-to-Equity Ratio,0.0005522088812505116
utilization_efficiency,0.0005362624255805857
Load Factor (%),0.0005179756900519587
fleet_utilization,0.000501339760431291
load_efficiency,0.00048308009683660887
Aircraft Utilization (Hours/Day),0.0004763951867033793
Turnaround Time (Minutes),0.000368584464039856
Net Profit Margin (%),0.0003321979005840662
profit_margin_ratio,0.00033037448272197473
Actual_Season,9.927326259195027e-05
Scheduled_Season,9.64471170384921e-05
Delay_Category,7.692439836023787e-05
